└─$ cat selected.txt commands.txt 
copy.txt:1:USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
copy.txt:2:root           1  0.0  0.0  22704 12792 ?        Ss   06:25   0:01 /sbin/init splash
copy.txt:3:root           2  0.0  0.0      0     0 ?        S    06:25   0:00 [kthreadd]
copy.txt:4:root           3  0.0  0.0      0     0 ?        S    06:25   0:00 [pool_workqueue_release]
copy.txt:5:root           4  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-rcu_g]
copy.txt:6:root           5  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-rcu_p]
copy.txt:7:root           6  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-slub_]
copy.txt:8:root           7  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-netns]
copy.txt:9:root           9  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/0:0H-events_highpri]
copy.txt:10:root          12  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-mm_pe]
copy.txt:11:root          13  0.0  0.0      0     0 ?        I    06:25   0:00 [rcu_tasks_kthread]
copy.txt:12:root          14  0.0  0.0      0     0 ?        I    06:25   0:00 [rcu_tasks_rude_kthread]
copy.txt:13:root          15  0.0  0.0      0     0 ?        I    06:25   0:00 [rcu_tasks_trace_kthread]
copy.txt:14:root          16  0.0  0.0      0     0 ?        S    06:25   0:00 [ksoftirqd/0]
copy.txt:15:root          17  0.0  0.0      0     0 ?        I    06:25   0:26 [rcu_preempt]
copy.txt:16:root          18  0.0  0.0      0     0 ?        S    06:25   0:00 [migration/0]
copy.txt:17:root          19  0.0  0.0      0     0 ?        S    06:25   0:00 [idle_inject/0]
copy.txt:18:root          20  0.0  0.0      0     0 ?        S    06:25   0:00 [cpuhp/0]
copy.txt:19:root          21  0.0  0.0      0     0 ?        S    06:25   0:00 [cpuhp/1]
copy.txt:20:root          22  0.0  0.0      0     0 ?        S    06:25   0:00 [idle_inject/1]
copy.txt:21:root          23  0.0  0.0      0     0 ?        S    06:25   0:00 [migration/1]
copy.txt:22:root          24  0.0  0.0      0     0 ?        S    06:25   0:00 [ksoftirqd/1]
copy.txt:23:root          26  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/1:0H-events_highpri]
copy.txt:24:root          27  0.0  0.0      0     0 ?        S    06:25   0:00 [cpuhp/2]
copy.txt:25:root          28  0.0  0.0      0     0 ?        S    06:25   0:00 [idle_inject/2]
copy.txt:26:root          29  0.0  0.0      0     0 ?        S    06:25   0:00 [migration/2]
copy.txt:27:root          30  0.0  0.0      0     0 ?        S    06:25   0:00 [ksoftirqd/2]
copy.txt:28:root          32  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/2:0H-kblockd]
copy.txt:29:root          33  0.0  0.0      0     0 ?        S    06:25   0:00 [cpuhp/3]
copy.txt:30:root          34  0.0  0.0      0     0 ?        S    06:25   0:00 [idle_inject/3]
copy.txt:31:root          35  0.0  0.0      0     0 ?        S    06:25   0:00 [migration/3]
copy.txt:32:root          36  0.0  0.0      0     0 ?        S    06:25   0:00 [ksoftirqd/3]
copy.txt:33:root          38  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/3:0H-events_highpri]
copy.txt:34:root          39  0.0  0.0      0     0 ?        S    06:25   0:00 [cpuhp/4]
copy.txt:35:root          40  0.0  0.0      0     0 ?        S    06:25   0:00 [idle_inject/4]
copy.txt:36:root          41  0.0  0.0      0     0 ?        S    06:25   0:00 [migration/4]
copy.txt:37:root          42  0.0  0.0      0     0 ?        S    06:25   0:00 [ksoftirqd/4]
copy.txt:38:root          44  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/4:0H-events_highpri]
copy.txt:39:root          45  0.0  0.0      0     0 ?        S    06:25   0:00 [cpuhp/5]
copy.txt:40:root          46  0.0  0.0      0     0 ?        S    06:25   0:00 [idle_inject/5]
copy.txt:41:root          47  0.0  0.0      0     0 ?        S    06:25   0:00 [migration/5]
copy.txt:42:root          48  0.0  0.0      0     0 ?        S    06:25   0:00 [ksoftirqd/5]
copy.txt:43:root          50  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/5:0H-events_highpri]
copy.txt:44:root          51  0.0  0.0      0     0 ?        S    06:25   0:00 [cpuhp/6]
copy.txt:45:root          52  0.0  0.0      0     0 ?        S    06:25   0:00 [idle_inject/6]
copy.txt:46:root          53  0.0  0.0      0     0 ?        S    06:25   0:00 [migration/6]
copy.txt:47:root          54  0.0  0.0      0     0 ?        S    06:25   0:00 [ksoftirqd/6]
copy.txt:48:root          56  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/6:0H-events_highpri]
copy.txt:49:root          57  0.0  0.0      0     0 ?        S    06:25   0:00 [cpuhp/7]
copy.txt:50:root          58  0.0  0.0      0     0 ?        S    06:25   0:00 [idle_inject/7]
copy.txt:51:root          59  0.0  0.0      0     0 ?        S    06:25   0:00 [migration/7]
copy.txt:52:root          60  0.0  0.0      0     0 ?        S    06:25   0:00 [ksoftirqd/7]
copy.txt:53:root          71  0.0  0.0      0     0 ?        S    06:25   0:00 [kdevtmpfs]
